otu_num,class,order,family,genus,taxon,accession
otu_1,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Douhan3,VTX00212
otu_2,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G15,VTX00135
otu_3,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,NA,NA
otu_4,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Whitfield type 17,VTX00195
otu_5,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_6,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA,NA
otu_7,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G23,VTX00222
otu_8,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus sp.,VTX00315
otu_9,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Glo7,VTX00214
otu_10,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus Douhan9,VTX00056
otu_11,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus sp.,VTX00177
otu_12,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G18,VTX00064
otu_13,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus viscosum,VTX00063
otu_14,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus Glo59,VTX00276
otu_15,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_16,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus ORVIN GLO4,VTX00278
otu_17,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G22,VTX00125
otu_18,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_19,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_20,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_21,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Wirsel OTU16,VTX00156
otu_22,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G8,VTX00130
otu_23,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_24,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G7,VTX00199
otu_25,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus acnaGlo7,VTX00057
otu_26,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus acnaGlo2,VTX00155
otu_27,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus sp.,NA
otu_28,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Yamato2005 D,VTX00084
otu_29,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_30,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,NA,NA
otu_31,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_32,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G20,VTX00143
otu_33,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,NA,NA
otu_34,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus sp.,VTX00159
otu_35,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Wirsel OTU4,VTX00086
otu_36,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Glo8,VTX00175
otu_37,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_38,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Diversispora MO-GC1,VTX00060
otu_39,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_40,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Glo-D,VTX00103
otu_41,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_42,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus ORVIN GLO1E,VTX00151
otu_43,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_44,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Paraglomus Pa 1,VTX00335
otu_45,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Torrecillas12b Glo G13,VTX00409
otu_46,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,Archaeospora Schechter08 Arch1,VTX00008
otu_47,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Glo3b,VTX00069
otu_48,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_49,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_50,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_51,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_52,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_53,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus perpusillum,VTX00287
otu_54,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,NA,NA
otu_55,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_56,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_57,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,NA,NA
otu_58,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_59,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA
otu_60,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Glo7,VTX00214
otu_61,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus INTA-4,VTX00445
